DOW;AUT;ACH;SOI;FACC;IDN3;NM3;IDN2;NM2;VYMERA;NUTS1;NUTS1_CODE;NUTS2;NUTS2_CODE;NUTS3;NUTS3_CODE;LAU1;LAU1_CODE
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA003;709;Snina;7;Prešovský;804744186.0;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Snina;SK0419
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA003;710;Stará ¼ubovòa;7;Prešovský;707854201.0;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Stará ¼ubovòa;SK041A
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA003;711;Stropkov;7;Prešovský;388921498.0;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Stropkov;SK041B
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA003;712;Svidník;7;Prešovský;549607373.0;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Svidník;SK041C
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA003;713;Vranov nad Top¾ou;7;Prešovský;769233410.0;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Vranov nad Top¾ou;SK041D
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA003;801;Gelnica;8;Košický;584322984.0;Slovensko;SK0;Východné Slovensko;SK04;Košický kraj;SK042;Gelnica;SK0421
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA003;802;Košice I;8;Košický;85458608.0;Slovensko;SK0;Východné Slovensko;SK04;Košický kraj;SK042;Košice I;SK0422
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA003;803;Košice II;8;Košický;80542672.0;Slovensko;SK0;Východné Slovensko;SK04;Košický kraj;SK042;Košice II;SK0423
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA003;804;Košice III;8;Košický;16831836.0;Slovensko;SK0;Východné Slovensko;SK04;Košický kraj;SK042;Košice III;SK0424
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA003;805;Košice IV;8;Košický;60904327.0;Slovensko;SK0;Východné Slovensko;SK04;Košický kraj;SK042;Košice IV;SK0425
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA003;806;Košice - okolie;8;Košický;1534597297.0;Slovensko;SK0;Východné Slovensko;SK04;Košický kraj;SK042;Košice - okolie;SK0426
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA003;807;Michalovce;8;Košický;1019224874.0;Slovensko;SK0;Východné Slovensko;SK04;Košický kraj;SK042;Michalovce;SK0427
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA003;808;Rožòava;8;Košický;1173348044.0;Slovensko;SK0;Východné Slovensko;SK04;Košický kraj;SK042;Rožòava;SK0428
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA003;809;Sobrance;8;Košický;538159890.0;Slovensko;SK0;Východné Slovensko;SK04;Košický kraj;SK042;Sobrance;SK0429
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA003;810;Spišská Nová Ves;8;Košický;587459500.0;Slovensko;SK0;Východné Slovensko;SK04;Košický kraj;SK042;Spišská Nová Ves;SK042A
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA003;811;Trebišov;8;Košický;1073475194.0;Slovensko;SK0;Východné Slovensko;SK04;Košický kraj;SK042;Trebišov;SK042B
