DOW;AUT;ACH;SOI;FACC;IDN4;NM4;IDN3;NM3;IDN2;NM2;VYMERA;NUTS1;NUTS1_CODE;NUTS2;NUTS2_CODE;NUTS3;NUTS3_CODE;LAU1;LAU1_CODE;LAU2;LAU2_CODE
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;526606;Vyšné Repaše;704;Levoèa;7;Prešovský;9957900.0;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Levoèa;SK0414;Vyšné Repaše;SK0414526606
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;526614;Vyšný Slavkov;704;Levoèa;7;Prešovský;17162854.0;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Levoèa;SK0414;Vyšný Slavkov;SK0414526614
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;526631;Závadka;801;Gelnica;8;Košický;22427807.0;Slovensko;SK0;Východné Slovensko;SK04;Košický kraj;SK042;Gelnica;SK0421;Závadka;SK0421526631
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;526649;Žakarovce;801;Gelnica;8;Košický;8630584.0;Slovensko;SK0;Východné Slovensko;SK04;Košický kraj;SK042;Gelnica;SK0421;Žakarovce;SK0421526649
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;526657;Žehra;810;Spišská Nová Ves;8;Košický;9657995.0;Slovensko;SK0;Východné Slovensko;SK04;Košický kraj;SK042;Spišská Nová Ves;SK042A;Žehra;SK042A526657
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;526665;Stará ¼ubovòa;710;Stará ¼ubovòa;7;Prešovský;30786177.0;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Stará ¼ubovòa;SK041A;Stará ¼ubovòa;SK041A526665
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;526673;Èirè;710;Stará ¼ubovòa;7;Prešovský;20187234.0;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Stará ¼ubovòa;SK041A;Èirè;SK041A526673
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;526681;Ïurková;710;Stará ¼ubovòa;7;Prešovský;3978816.0;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Stará ¼ubovòa;SK041A;Ïurková;SK041A526681
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;526690;Forbasy;710;Stará ¼ubovòa;7;Prešovský;4498362.0;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Stará ¼ubovòa;SK041A;Forbasy;SK041A526690
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;526703;Hajtovka;710;Stará ¼ubovòa;7;Prešovský;3046860.0;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Stará ¼ubovòa;SK041A;Hajtovka;SK041A526703
